,UK,US
462,draughty,drafty
463,drivelled,driveled
464,drivelling,driveling
465,duelled,dueled
466,duelling,dueling
467,economise,economize
468,economised,economized
469,economises,economizes
470,economising,economizing
471,edoema,edema
472,editorialise,editorialize
473,editorialised,editorialized
474,editorialises,editorializes
475,editorialising,editorializing
476,empathise,empathize
477,empathised,empathized
478,empathises,empathizes
479,empathising,empathizing
480,emphasise,emphasize
481,emphasised,emphasized
482,emphasises,emphasizes
483,emphasising,emphasizing
484,enamelled,enameled
485,enamelling,enameling
486,enamoured,enamored
487,encyclopaedia,encyclopedia
488,encyclopaedias,encyclopedias
489,encyclopaedic,encyclopedic
490,endeavour,endeavor
491,endeavoured,endeavored
492,endeavouring,endeavoring
493,endeavours,endeavors
494,energise,energize
495,energised,energized
496,energises,energizes
497,energising,energizing
498,enrol,enroll
499,enrols,enrolls
500,enthral,enthrall
501,enthrals,enthralls
502,epaulette,epaulet
503,epaulettes,epaulets
504,epicentre,epicenter
505,epicentres,epicenters
506,epilogue,epilog
507,epilogues,epilogs
508,epitomise,epitomize
509,epitomised,epitomized
510,epitomises,epitomizes
511,epitomising,epitomizing
512,equalisation,equalization
513,equalise,equalize
514,equalised,equalized
515,equaliser,equalizer
516,equalisers,equalizers
517,equalises,equalizes
518,equalising,equalizing
519,eulogise,eulogize
520,eulogised,eulogized
521,eulogises,eulogizes
522,eulogising,eulogizing
523,evangelise,evangelize
524,evangelised,evangelized
525,evangelises,evangelizes
526,evangelising,evangelizing
527,exorcise,exorcize
528,exorcised,exorcized
529,exorcises,exorcizes
530,exorcising,exorcizing
531,extemporisation,extemporization
532,extemporise,extemporize
533,extemporised,extemporized
534,extemporises,extemporizes
535,extemporising,extemporizing
536,externalisation,externalization
537,externalisations,externalizations
538,externalise,externalize
539,externalised,externalized
540,externalises,externalizes
541,externalising,externalizing
542,factorise,factorize
543,factorised,factorized
544,factorises,factorizes
545,factorising,factorizing
546,faecal,fecal
547,faeces,feces
548,familiarisation,familiarization
549,familiarise,familiarize
550,familiarised,familiarized
551,familiarises,familiarizes
552,familiarising,familiarizing
553,fantasise,fantasize
554,fantasised,fantasized
555,fantasises,fantasizes
556,fantasising,fantasizing
557,favour,favor
558,favourable,favorable
559,favourably,favorably
560,favoured,favored
561,favouring,favoring
562,favourite,favorite
563,favourites,favorites
564,favouritism,favoritism
565,favours,favors
566,feminise,feminize
567,feminised,feminized
568,feminises,feminizes
569,feminising,feminizing
570,fertilisation,fertilization
571,fertilise,fertilize
572,fertilised,fertilized
573,fertiliser,fertilizer
574,fertilisers,fertilizers
575,fertilises,fertilizes
576,fertilising,fertilizing
577,fervour,fervor
578,fibre,fiber
579,fibreglass,fiberglass
580,fibres,fibers
581,fictionalisation,fictionalization
582,fictionalisations,fictionalizations
583,fictionalise,fictionalize
584,fictionalised,fictionalized
585,fictionalises,fictionalizes
586,fictionalising,fictionalizing
587,fillet,filet
588,filleted,fileted
589,filleting,fileting
590,fillets,filets
591,finalisation,finalization
592,finalise,finalize
593,finalised,finalized
594,finalises,finalizes
595,finalising,finalizing
596,flautist,flutist
597,flautists,flutists
598,flavour,flavor
599,flavoured,flavored
600,flavouring,flavoring
601,flavourings,flavorings
602,flavourless,flavorless
603,flavours,flavors
604,flavoursome,flavorsome
605,flyer,flier
606,/,/
607,flier,flyer
608,foetal,fetal
609,foetid,fetid
610,foetus,fetus
611,foetuses,fetuses
612,formalisation,formalization
613,formalise,formalize
614,formalised,formalized
615,formalises,formalizes
616,formalising,formalizing
617,fossilisation,fossilization
618,fossilise,fossilize
619,fossilised,fossilized
620,fossilises,fossilizes
621,fossilising,fossilizing
622,fraternisation,fraternization
623,fraternise,fraternize
624,fraternised,fraternized
625,fraternises,fraternizes
626,fraternising,fraternizing
627,fulfil,fulfill
628,fulfilment,fulfillment
629,fulfils,fulfills
630,funnelled,funneled
631,funnelling,funneling
632,galvanise,galvanize
633,galvanised,galvanized
634,galvanises,galvanizes
635,galvanising,galvanizing
636,gambolled,gamboled
637,gambolling,gamboling
638,gaol,jail
639,gaolbird,jailbird
640,gaolbirds,jailbirds
641,gaolbreak,jailbreak
642,gaolbreaks,jailbreaks
643,gaoled,jailed
644,gaoler,jailer
645,gaolers,jailers
646,gaoling,jailing
647,gaols,jails
648,gases,gasses
649,gauge,gage
650,gauged,gaged
651,gauges,gages
652,gauging,gaging
653,generalisation,generalization
654,generalisations,generalizations
655,generalise,generalize
656,generalised,generalized
657,generalises,generalizes
658,generalising,generalizing
659,ghettoise,ghettoize
660,ghettoised,ghettoized
661,ghettoises,ghettoizes
662,ghettoising,ghettoizing
663,gipsies,gypsies
664,glamorise,glamorize
665,glamorised,glamorized
666,glamorises,glamorizes
667,glamorising,glamorizing
668,glamour,glamor
669,globalisation,globalization
670,globalise,globalize
671,globalised,globalized
672,globalises,globalizes
673,globalising,globalizing
674,glueing,gluing
675,goitre,goiter
676,goitres,goiters
677,gonorrhoea,gonorrhea
678,gramme,gram
679,grammes,grams
680,gravelled,graveled
681,grey,gray
682,greyed,grayed
683,greying,graying
684,greyish,grayish
685,greyness,grayness
686,greys,grays
687,grovelled,groveled
688,grovelling,groveling
689,groyne,groin
690,groynes,groins
691,gruelling,grueling
692,gruellingly,gruelingly
693,gryphon,griffin
694,gryphons,griffins
695,gynaecological,gynecological
696,gynaecologist,gynecologist
697,gynaecologists,gynecologists
698,gynaecology,gynecology
699,haematological,hematological
700,haematologist,hematologist
701,haematologists,hematologists
702,haematology,hematology
703,haemoglobin,hemoglobin
704,haemophilia,hemophilia
705,haemophiliac,hemophiliac
706,haemophiliacs,hemophiliacs
707,haemorrhage,hemorrhage
708,haemorrhaged,hemorrhaged
709,haemorrhages,hemorrhages
710,haemorrhaging,hemorrhaging
711,haemorrhoids,hemorrhoids
712,harbour,harbor
713,harboured,harbored
714,harbouring,harboring
715,harbours,harbors
716,harmonisation,harmonization
717,harmonise,harmonize
718,harmonised,harmonized
719,harmonises,harmonizes
720,harmonising,harmonizing
721,homoeopath,homeopath
722,homoeopathic,homeopathic
723,homoeopaths,homeopaths
724,homoeopathy,homeopathy
725,homogenise,homogenize
726,homogenised,homogenized
727,homogenises,homogenizes
728,homogenising,homogenizing
729,honour,honor
730,honourable,honorable
731,honourably,honorably
732,honoured,honored
733,honouring,honoring
734,honours,honors
735,hospitalisation,hospitalization
736,hospitalise,hospitalize
737,hospitalised,hospitalized
738,hospitalises,hospitalizes
739,hospitalising,hospitalizing
740,humanise,humanize
741,humanised,humanized
742,humanises,humanizes
743,humanising,humanizing
744,humour,humor
745,humoured,humored
746,humouring,humoring
747,humourless,humorless
748,humours,humors
749,hybridise,hybridize
750,hybridised,hybridized
751,hybridises,hybridizes
752,hybridising,hybridizing
753,hypnotise,hypnotize
754,hypnotised,hypnotized
755,hypnotises,hypnotizes
756,hypnotising,hypnotizing
757,hypothesise,hypothesize
758,hypothesised,hypothesized
759,hypothesises,hypothesizes
760,hypothesising,hypothesizing
761,idealisation,idealization
762,idealise,idealize
763,idealised,idealized
764,idealises,idealizes
765,idealising,idealizing
766,idolise,idolize
767,idolised,idolized
768,idolises,idolizes
769,idolising,idolizing
770,immobilisation,immobilization
771,immobilise,immobilize
772,immobilised,immobilized
773,immobiliser,immobilizer
774,immobilisers,immobilizers
775,immobilises,immobilizes
776,immobilising,immobilizing
777,immortalise,immortalize
778,immortalised,immortalized
779,immortalises,immortalizes
780,immortalising,immortalizing
781,immunisation,immunization
782,immunise,immunize
783,immunised,immunized
784,immunises,immunizes
785,immunising,immunizing
786,impanelled,impaneled
787,impanelling,impaneling
788,imperilled,imperiled
789,imperilling,imperiling
790,individualise,individualize
791,individualised,individualized
792,individualises,individualizes
793,individualising,individualizing
794,industrialise,industrialize
795,industrialised,industrialized
796,industrialises,industrializes
797,industrialising,industrializing
798,inflexion,inflection
799,inflexions,inflections
800,initialise,initialize
801,initialised,initialized
802,initialises,initializes
803,initialising,initializing
804,initialled,initialed
805,initialling,initialing
806,instal,install
807,instalment,installment
808,instalments,installments
809,instals,installs
810,instil,instill
811,instils,instills
812,institutionalisation,institutionalization
813,institutionalise,institutionalize
814,institutionalised,institutionalized
815,institutionalises,institutionalizes
816,institutionalising,institutionalizing
817,intellectualise,intellectualize
818,intellectualised,intellectualized
819,intellectualises,intellectualizes
820,intellectualising,intellectualizing
821,internalisation,internalization
822,internalise,internalize
823,internalised,internalized
824,internalises,internalizes
825,internalising,internalizing
826,internationalisation,internationalization
827,internationalise,internationalize
828,internationalised,internationalized
829,internationalises,internationalizes
830,internationalising,internationalizing
831,ionisation,ionization
832,ionise,ionize
833,ionised,ionized
834,ioniser,ionizer
835,ionisers,ionizers
836,ionises,ionizes
837,ionising,ionizing
838,italicise,italicize
839,italicised,italicized
840,italicises,italicizes
841,italicising,italicizing
842,itemise,itemize
843,itemised,itemized
844,itemises,itemizes
845,itemising,itemizing
846,jeopardise,jeopardize
847,jeopardised,jeopardized
848,jeopardises,jeopardizes
849,jeopardising,jeopardizing
850,jewelled,jeweled
851,jeweller,jeweler
852,jewellers,jewelers
853,jewellery,jewelry
854,judgement,judgment
855,kilogramme,kilogram
856,kilogrammes,kilograms
857,kilometre,kilometer
858,kilometres,kilometers
859,labelled,labeled
860,labelling,labeling
861,labour,labor
862,laboured,labored
863,labourer,laborer
864,labourers,laborers
865,labouring,laboring
866,labours,labors
867,lacklustre,lackluster
868,legalisation,legalization
869,legalise,legalize
870,legalised,legalized
871,legalises,legalizes
872,legalising,legalizing
873,legitimise,legitimize
874,legitimised,legitimized
875,legitimises,legitimizes
876,legitimising,legitimizing
877,leukaemia,leukemia
878,levelled,leveled
879,leveller,leveler
880,levellers,levelers
881,levelling,leveling
882,libelled,libeled
883,libelling,libeling
884,libellous,libelous
885,liberalisation,liberalization
886,liberalise,liberalize
887,liberalised,liberalized
888,liberalises,liberalizes
889,liberalising,liberalizing
890,licence,license
891,licenced,licensed
892,licences,licenses
893,licencing,licensing
894,likeable,likable
895,lionisation,lionization
896,lionise,lionize
897,lionised,lionized
898,lionises,lionizes
899,lionising,lionizing
900,liquidise,liquidize
901,liquidised,liquidized
902,liquidiser,liquidizer
903,liquidisers,liquidizers
904,liquidises,liquidizes
905,liquidising,liquidizing
906,litre,liter
907,litres,liters
908,localise,localize
909,localised,localized
910,localises,localizes
911,localising,localizing
912,louvre,louver
913,louvred,louvered
914,louvres,louvers
915,lustre,luster
916,magnetise,magnetize
917,magnetised,magnetized
918,magnetises,magnetizes
919,magnetising,magnetizing
920,manoeuvrability,maneuverability
921,manoeuvrable,maneuverable
922,manoeuvre,maneuver
923,manoeuvred,maneuvered
924,manoeuvres,maneuvers
925,manoeuvring,maneuvering
926,manoeuvrings,maneuverings
927,marginalisation,marginalization
928,marginalise,marginalize
929,marginalised,marginalized
930,marginalises,marginalizes
931,marginalising,marginalizing
932,marshalled,marshaled
933,marshalling,marshaling
934,marvelled,marveled
935,marvelling,marveling
936,marvellous,marvelous
937,marvellously,marvelously
938,materialisation,materialization
939,materialise,materialize
940,materialised,materialized
941,materialises,materializes
942,materialising,materializing
943,maximisation,maximization
944,maximise,maximize
945,maximised,maximized
946,maximises,maximizes
947,maximising,maximizing
948,meagre,meager
949,mechanisation,mechanization
950,mechanise,mechanize
951,mechanised,mechanized
952,mechanises,mechanizes
953,mechanising,mechanizing
954,mediaeval,medieval
955,memorialise,memorialize
956,memorialised,memorialized
957,memorialises,memorializes
958,memorialising,memorializing
959,memorise,memorize
960,memorised,memorized
961,memorises,memorizes
962,memorising,memorizing
963,mesmerise,mesmerize
964,mesmerised,mesmerized
965,mesmerises,mesmerizes
966,mesmerising,mesmerizing
967,metabolise,metabolize
968,metabolised,metabolized
969,metabolises,metabolizes
970,metabolising,metabolizing
971,metre,meter
972,metres,meters
973,micrometre,micrometer
974,micrometres,micrometers
975,militarise,militarize
976,militarised,militarized
977,militarises,militarizes
978,militarising,militarizing
979,milligramme,milligram
980,milligrammes,milligrams
981,millilitre,milliliter
982,millilitres,milliliters
983,millimetre,millimeter
984,millimetres,millimeters
985,miniaturisation,miniaturization
986,miniaturise,miniaturize
987,miniaturised,miniaturized
988,miniaturises,miniaturizes
989,miniaturising,miniaturizing
990,minibuses,minibusses
991,minimise,minimize
992,minimised,minimized
993,minimises,minimizes
994,minimising,minimizing
995,misbehaviour,misbehavior
996,misdemeanour,misdemeanor
997,misdemeanours,misdemeanors
998,misspelt,misspelled
999,mitre,miter
1000,mitres,miters
1001,mobilisation,mobilization
1002,mobilise,mobilize
1003,mobilised,mobilized
1004,mobilises,mobilizes
1005,mobilising,mobilizing
1006,modelled,modeled
1007,modeller,modeler
1008,modellers,modelers
1009,modelling,modeling
1010,modernise,modernize
1011,modernised,modernized
1012,modernises,modernizes
1013,modernising,modernizing
1014,moisturise,moisturize
1015,moisturised,moisturized
1016,moisturiser,moisturizer
1017,moisturisers,moisturizers
1018,moisturises,moisturizes
1019,moisturising,moisturizing
1020,monologue,monolog
1021,monologues,monologs
1022,monopolisation,monopolization
1023,monopolise,monopolize
1024,monopolised,monopolized
1025,monopolises,monopolizes
1026,monopolising,monopolizing
1027,moralise,moralize
1028,moralised,moralized
1029,moralises,moralizes
1030,moralising,moralizing
1031,motorised,motorized
1032,mould,mold
1033,moulded,molded
1034,moulder,molder
1035,mouldered,moldered
1036,mouldering,moldering
1037,moulders,molders
1038,mouldier,moldier
1039,mouldiest,moldiest
1040,moulding,molding
1041,mouldings,moldings
1042,moulds,molds
1043,mouldy,moldy
1044,moult,molt
1045,moulted,molted
1046,moulting,molting
1047,moults,molts
1048,moustache,mustache
1049,moustached,mustached
1050,moustaches,mustaches
1051,moustachioed,mustachioed
1052,multicoloured,multicolored
1053,nationalisation,nationalization
1054,nationalisations,nationalizations
1055,nationalise,nationalize
1056,nationalised,nationalized
1057,nationalises,nationalizes
1058,nationalising,nationalizing
1059,naturalisation,naturalization
1060,naturalise,naturalize
1061,naturalised,naturalized
1062,naturalises,naturalizes
1063,naturalising,naturalizing
1064,neighbour,neighbor
1065,neighbourhood,neighborhood
1066,neighbourhoods,neighborhoods
1067,neighbouring,neighboring
1068,neighbourliness,neighborliness
1069,neighbourly,neighborly
1070,neighbours,neighbors
1071,neutralisation,neutralization
1072,neutralise,neutralize
1073,neutralised,neutralized
1074,neutralises,neutralizes
1075,neutralising,neutralizing
1076,normalisation,normalization
1077,normalise,normalize
1078,normalised,normalized
1079,normalises,normalizes
1080,normalising,normalizing
1081,odour,odor
1082,odourless,odorless
1083,odours,odors
1084,oesophagus,esophagus
1085,oesophaguses,esophaguses
1086,oestrogen,estrogen
1087,offence,offense
1088,offences,offenses
1089,omelette,omelet
1090,omelettes,omelets
1091,optimise,optimize
1092,optimised,optimized
1093,optimises,optimizes
1094,optimising,optimizing
1095,organisation,organization
1096,organisational,organizational
1097,organisations,organizations
1098,organise,organize
1099,organised,organized
1100,organiser,organizer
1101,organisers,organizers
1102,organises,organizes
1103,organising,organizing
1104,orthopaedic,orthopedic
1105,orthopaedics,orthopedics
1106,ostracise,ostracize
1107,ostracised,ostracized
1108,ostracises,ostracizes
1109,ostracising,ostracizing
1110,outmanoeuvre,outmaneuver
1111,outmanoeuvred,outmaneuvered
1112,outmanoeuvres,outmaneuvers
1113,outmanoeuvring,outmaneuvering
1114,overemphasise,overemphasize
1115,overemphasised,overemphasized
1116,overemphasises,overemphasizes
1117,overemphasising,overemphasizing
1118,oxidisation,oxidization
1119,oxidise,oxidize
1120,oxidised,oxidized
1121,oxidises,oxidizes
1122,oxidising,oxidizing
1123,paederast,pederast
1124,paederasts,pederasts
1125,paediatric,pediatric
1126,paediatrician,pediatrician
1127,paediatricians,pediatricians
1128,paediatrics,pediatrics
1129,paedophile,pedophile
1130,paedophiles,pedophiles
1131,paedophilia,pedophilia
1132,palaeolithic,paleolithic
1133,palaeontologist,paleontologist
1134,palaeontologists,paleontologists
1135,palaeontology,paleontology
1136,panelled,paneled
1137,panelling,paneling
1138,panellist,panelist
1139,panellists,panelists
1140,paralyse,paralyze
1141,paralysed,paralyzed
1142,paralyses,paralyzes
1143,paralysing,paralyzing
1144,parcelled,parceled
1145,parcelling,parceling
1146,parlour,parlor
1147,parlours,parlors
1148,particularise,particularize
1149,particularised,particularized
1150,particularises,particularizes
1151,particularising,particularizing
1152,passivisation,passivization
1153,passivise,passivize
1154,passivised,passivized
1155,passivises,passivizes
1156,passivising,passivizing
1157,pasteurisation,pasteurization
1158,pasteurise,pasteurize
1159,pasteurised,pasteurized
1160,pasteurises,pasteurizes
1161,pasteurising,pasteurizing
1162,patronise,patronize
1163,patronised,patronized
1164,patronises,patronizes
1165,patronising,patronizing
1166,patronisingly,patronizingly
1167,pedalled,pedaled
1168,pedalling,pedaling
1169,pedestrianisation,pedestrianization
1170,pedestrianise,pedestrianize
1171,pedestrianised,pedestrianized
